,설화명곡,화원,대곡,진천,월배,상인,월촌,송현,서부정류장,대명,안지랑,현충로,영대병원,교대,명덕1,반월당1,중앙로,대구역,칠성시장,신천,동대구역,동구청,아양교,동촌,해안,방촌,용계,율하,신기,반야월,각산,안심
2006,0,0,2281143,1582727,1349384,4116828,1588371,1573900,3815431,1168064,1472134,1251927,2517603,1722564,2345863,3177503,8483523,4256762,2086015,1826453,4628469,1757360,1828031,591464,1094105,1201283,576655,445903,1231694,905698,1354935,1676196
2007,0,0,2465713,1547586,1436929,4067234,1447541,1479131,3587521,1123919,1422859,1219023,2468942,1591798,2308180,3167066,7778432,4090553,2010379,1629536,4504021,1633435,1861635,539202,1066301,1129764,579297,429181,1152810,925874,1354156,1787132
2008,0,0,2773489,1586943,1424722,4246640,1413141,1506228,3547117,1125631,1403443,1225133,2452713,1593562,2312131,3224971,7946163,4089651,1989063,1633074,4448456,1603273,1875219,529693,1077972,1103070,582321,450290,1174887,963067,1416594,1919978
2009,0,0,2665873,1650061,1409125,4230009,1370744,1513779,3456724,1099017,1406255,1191139,2413832,1577004,2252046,3171613,7919667,4016028,1947931,1575277,4304272,1553352,1879293,524635,1032562,1072365,598439,643104,1206475,914265,1349085,1999623
2010,0,0,2682135,1728905,1401545,4307647,1524297,1490567,3440455,1062094,1424483,1176754,2402477,1546434,2256101,3222243,8124876,3940691,1891981,1614551,4423235,1519705,1967905,530714,1011319,1072249,625729,1043487,1325812,915855,1377314,2127512
2011,0,0,2802528,1909004,1443530,4592981,1694722,1533770,3482533,1215257,1484963,1243322,2470349,1628754,2304139,3610929,8304235,3998528,1895703,1816370,4691332,1556481,2029255,542586,1004162,1194816,632055,1392827,1450514,946250,1414568,2237591
2012,0,0,2867615,2085445,1458735,4728331,1741014,1527339,3486241,1320682,1567220,1265504,2481045,1720651,2243684,3969181,8229120,3954574,1915467,1873783,4779237,1603736,2074648,550066,1002389,1246623,638520,1542614,1465891,893370,1446247,2356738
2013,0,0,3052262,2283953,1517167,4775371,1775446,1541743,3595806,1393995,1748901,1307138,2523161,1743321,2250686,4154434,8203534,3929799,1930906,1860256,4888436,1589231,2123897,576638,1054134,1237581,650022,1626667,1472887,791357,1446743,2409077
2014,0,0,3048716,2360686,1513165,4687037,1743539,1485766,3615729,1430419,1769294,1316489,2572500,1690899,2152720,4232882,7860888,3806522,1993355,1820552,4886600,1576450,2116911,619163,1087895,1244168,630720,1712260,1473514,788099,1510190,2458177
2015,0,0,3096735,2525773,1560232,4764510,1795786,1484263,3628271,1474398,1738928,1294405,2490430,1652650,1957739,4379646,7896243,3604802,1996768,1801938,4758128,1570982,2072536,679314,1070567,1258274,681992,1738613,1445736,811941,1522522,2452409
2016,363017,378192,3000479,2548334,1583685,4876201,1847968,1499285,3797486,1611841,1737529,1392540,2496210,1697001,1728638,4657957,7960596,3548166,1997449,1831858,5067905,1554436,2036382,741122,1052098,1271579,717173,1819200,1455354,901323,1556172,2370511
2017,1378515,1262200,2401473,2526345,1607344,4849581,1833988,1489910,3767685,1708434,1740536,1423362,2390188,1594116,1668572,4796217,7898794,3477431,1966554,1787342,6778825,1486018,1989174,782386,1045248,1239948,705060,1762244,1472725,919181,1552474,2338941
2018,1485008,1431429,2426272,2567991,1636167,4754436,1843665,1505138,3653215,1814276,1725884,1417911,2384610,1559015,1627749,4967641,7725877,3406257,1910159,1791472,6716063,1448815,1932987,836511,1002647,1241425,716092,1725186,1469022,945598,1531961,2442997
2019,1534453,1491281,2443284,2632092,1716926,4790169,1860892,1516649,3645900,1936439,1788119,1491290,2479710,1534383,1640729,5194739,7590634,3445376,1946021,1921648,6964573,1451350,1974223,901593,1061404,1294739,724554,1778782,1530719,991809,1599429,2506681
2020,1056685,1058283,1657936,1796066,1185336,3170103,1275234,1092285,2354782,891842,1234023,981567,1554414,991607,1073024,3270712,4275458,2215839,1392038,1312039,4159077,952238,1316770,626556,714102,887408,513699,1238667,1079820,675623,1107455,1518759
2021,1204675,1185821,1831873,2003901,1343935,3443869,1419666,1190929,2541609,905739,1370092,1085393,1638840,1135078,1154513,3505550,4485430,2348553,1452144,1475904,4768957,982761,1470513,702040,757468,998305,564195,1359500,1170658,765014,1224982,1796428
2022,1313057,1277750,1489572,2578804,1428115,3656620,1446816,1222851,2643460,988494,1394701,1127520,1689716,1250658,1163476,3899546,5108363,2464548,1477628,1589437,5578748,1030372,1552992,765771,800621,1122593,585605,1469799,1255821,838098,1338573,2068859
2023,1440064,1384565,1511530,2763533,1510782,3852857,1492532,1259250,2699915,1153998,1432058,1145985,1833296,1356394,1170155,4356281,5582276,2565413,1502715,1689637,6192281,1103547,1629434,791818,833558,1205868,625412,1519220,1315675,909665,1395513,2158772
